Date,Forecast,Lower_95,Upper_95
2012-11-02,47689324.77,45141375.67,50237273.88
2012-11-09,47720034.41,45172085.31,50267983.51
2012-11-16,46577834.83,44029885.72,49125783.93
2012-11-23,63190392.4,60642443.29,65738341.5
2012-11-30,49171391.73,46623442.62,51719340.83
2012-12-07,52938674.97,50390725.87,55486624.07
2012-12-14,60243031.55,57695082.45,62790980.65
2012-12-21,68625346.7,66077397.59,71173295.8
2012-12-28,51109510.62,48561561.51,53657459.72
2013-01-04,48350851.1,45802901.99,50898800.2
2013-01-11,44111611.5,41563662.4,46659560.61
2013-01-18,43750647.3,41202698.2,46298596.41
